r, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5
0, 0, 0, 0, 0, 0
0.01, -0.00951754, -0.000256553, -0.000130952, -0.0001791, -2.19975e-05
0.02, -0.0190815, -0.000297879, -0.000125329, -0.000178607, -1.69697e-05
0.03, -0.0286737, -0.000187046, -3.34731e-05, -6.51822e-05, 3.83559e-06
0.04, -0.0382786, 2.46457e-05, 0.000105651, 0.000108657, 3.18508e-05
0.05, -0.0478825, 0.00029611, 0.000262666, 0.000302409, 6.07455e-05
0.06, -0.0574736, 0.000595079, 0.000416203, 0.000485713, 8.60378e-05
0.07, -0.0670418, 0.000896853, 0.000551518, 0.000636683, 0.000104755
0.08, -0.0765782, 0.00118317, 0.000659287, 0.000740448, 0.000115139
0.09, -0.0860751, 0.00144121, 0.000734555, 0.00078787, 0.000116391
0.1, -0.0955258, 0.00166268, 0.000775829, 0.000774429, 0.000108454
0.11, -0.104924, 0.00184307, 0.000784298, 0.000699248, 9.18257e-05
0.12, -0.114266, 0.0019809, 0.000763166, 0.000564264, 6.73987e-05
0.13, -0.123545, 0.00207712, 0.00071709, 0.000373504, 3.63306e-05
0.14, -0.132758, 0.00213462, 0.000651701, 0.000132484, -6.77354e-08
0.15, -0.141901, 0.00215769, 0.000573211, -0.000152311, -4.04214e-05
0.16, -0.150971, 0.00215168, 0.000488089, -0.000473851, -8.33647e-05
0.17, -0.159964, 0.00212261, 0.000402796, -0.000824916, -0.000127598
0.18, -0.168877, 0.00207691, 0.000323579, -0.00119838, -0.000171931
0.19, -0.177708, 0.00202115, 0.000256305, -0.00158743, -0.000215317
0.2, -0.186453, 0.00196186, 0.000206343, -0.00198575, -0.000256874
0.21, -0.195109, 0.00190535, 0.00017848, -0.00238766, -0.000295898
0.22, -0.203673, 0.00185756, 0.000176859, -0.00278819, -0.000331871
0.23, -0.212143, 0.00182399, 0.000204953, -0.00318313, -0.000364461
0.24, -0.220516, 0.0018096, 0.000265553, -0.00356908, -0.000393519
0.25, -0.228788, 0.00181876, 0.000360775, -0.00394346, -0.000419069
0.26, -0.236957, 0.00185522, 0.000492085, -0.00430447, -0.000441298
0.27, -0.24502, 0.00192208, 0.000660329, -0.00465107, -0.000460542
0.28, -0.252973, 0.00202178, 0.000865777, -0.00498296, -0.000477271
0.29, -0.260813, 0.00215614, 0.00110817, -0.00530047, -0.000492068
0.3, -0.268537, 0.00232636, 0.00138678, -0.00560456, -0.000505619
0.31, -0.276142, 0.00253302, 0.00170044, -0.00589671, -0.000518686
0.32, -0.283624, 0.00277617, 0.00204766, -0.00617888, -0.000532096
0.33, -0.290981, 0.00305532, 0.0024266, -0.00645341, -0.00054672
0.34, -0.298208, 0.0033695, 0.0028352, -0.00672294, -0.000563455
0.35, -0.305302, 0.00371732, 0.00327122, -0.00699038, -0.000583209
0.36, -0.312261, 0.004097, 0.00373226, -0.0072588, -0.000606888
0.37, -0.319079, 0.00450643, 0.00421584, -0.00753138, -0.000635373
0.38, -0.325755, 0.00494319, 0.00471943, -0.00781132, -0.000669518
0.39, -0.332284, 0.00540467, 0.00524053, -0.00810184, -0.000710128
0.4, -0.338663, 0.00588801, 0.00577665, -0.00840602, -0.000757954
0.41, -0.34489, 0.00639026, 0.00632539, -0.00872687, -0.000813681
0.42, -0.35096, 0.00690834, 0.00688446, -0.00906719, -0.000877922
0.43, -0.35687, 0.00743912, 0.00745171, -0.00942956, -0.000951208
0.44, -0.362618, 0.00797944, 0.00802512, -0.0098163, -0.00103398
0.45, -0.368199, 0.00852618, 0.00860288, -0.0102295, -0.0011266
0.46, -0.373612, 0.00907624, 0.00918334, -0.0106708, -0.00122933
0.47, -0.378853, 0.00962664, 0.00976507, -0.0111417, -0.00134232
0.48, -0.383919, 0.0101745, 0.0103468, -0.0116431, -0.00146566
0.49, -0.388808, 0.010717, 0.0109276, -0.0121759, -0.00159931
0.5, -0.393516, 0.0112515, 0.0115067, -0.0127402, -0.00174314
0.51, -0.398042, 0.0117757, 0.0120833, -0.0133361, -0.00189695
0.52, -0.402383, 0.0122872, 0.0126572, -0.013963, -0.00206041
0.53, -0.406536, 0.012784, 0.0132282, -0.0146203, -0.00223314
0.54, -0.4105, 0.0132643, 0.0137962, -0.0153068, -0.00241465
0.55, -0.414272, 0.0137265, 0.0143614, -0.0160209, -0.0026044
0.56, -0.41785, 0.014169, 0.0149243, -0.0167608, -0.00280173
0.57, -0.421233, 0.0145908, 0.0154852, -0.0175245, -0.00300596
0.58, -0.424419, 0.0149908, 0.0160448, -0.0183094, -0.00321631
0.59, -0.427405, 0.0153683, 0.0166039, -0.0191129, -0.00343198
0.6, -0.430192, 0.0157227, 0.0171633, -0.019932, -0.00365209
0.61, -0.432776, 0.0160537, 0.017724, -0.0207636, -0.00387572
