r, Channel 1, Channel 2
0, 0, 0
0.1, -4.18969e-05, -0.000898885
0.2, -0.000150181, -0.00308199
0.3, -0.0004029, -0.00587125
0.4, -0.000724846, -0.00862607
0.5, -0.00135013, -0.0109601
0.6, -0.002209, -0.0124881
0.7, -0.00302614, -0.0129047
0.8, -0.0042489, -0.0123053
0.9, -0.00522391, -0.01048
1, -0.00644953, -0.00774626
1.1, -0.00748844, -0.00415191
1.2, -0.00824812, 0.00012965
1.3, -0.00919523, 0.00462203
1.4, -0.00930778, 0.00949859
1.5, -0.00953725, 0.014146
1.6, -0.00938313, 0.0185291
1.7, -0.0083875, 0.0226975
1.8, -0.00759797, 0.0260877
1.9, -0.00622641, 0.0289047
2, -0.00404577, 0.0312255
2.1, -0.00215062, 0.0325782
2.2, 0.00014379, 0.033222
2.3, 0.00328893, 0.0334085
2.4, 0.00611244, 0.0327189
2.5, 0.00883109, 0.0312694
2.6, 0.0123687, 0.0295298
2.7, 0.0158273, 0.027245
2.8, 0.01858, 0.0242112
2.9, 0.0217023, 0.020937
3, 0.0252577, 0.0175713
3.1, 0.0279921, 0.013685
3.2, 0.0301378, 0.00941059
3.3, 0.0328212, 0.00529116
3.4, 0.0354326, 0.00118553
3.5, 0.0368561, -0.0033155
3.6, 0.0378558, -0.00787688
3.7, 0.0394283, -0.0120141
3.8, 0.0406229, -0.0160323
3.9, 0.0404462, -0.02032
4, 0.0399292, -0.0244508
4.1, 0.0400753, -0.027953
4.2, 0.0397952, -0.0312096
4.3, 0.0380169, -0.034664
4.4, 0.0358665, -0.037874
4.5, 0.0345815, -0.0402936
4.6, 0.0330989, -0.0423106
4.7, 0.0300255, -0.0445168
4.8, 0.0263795, -0.0465415
4.9, 0.0238572, -0.047677
5, 0.0216788, -0.0482062
5.1, 0.0179278, -0.0489443
5.2, 0.0131646, -0.0497355
5.3, 0.00967593, -0.0496607
5.4, 0.00740608, -0.0487133
5.5, 0.00387715, -0.0479379
5.6, -0.00136499, -0.0476176
5.7, -0.00556397, -0.0466744
5.8, -0.00739861, -0.0445411
5.9, -0.00958158, -0.0423457
6, -0.0143269, -0.0411135
6.1, -0.0190255, -0.039865
6.2, -0.02017, -0.0371275
6.3, -0.0197002, -0.0336778
6.4, -0.0224297, -0.0316441
