r Channel_1(Re) Channel_1(Im) Channel_2(Re) Channel_2(Im)
0 0 0 0 0
0.01 0.191126 -0.148111 -0.000579312 -0.0014034
0.02 0.356083 -0.277522 -0.000973556 -0.00206158
0.03 0.496946 -0.389611 -0.0012005 -0.00205961
0.04 0.615672 -0.485683 -0.00127684 -0.00147678
0.05 0.714106 -0.566972 -0.0012183 -0.000386886
0.06 0.793985 -0.634647 -0.00103961 0.00114151
0.07 0.856943 -0.68981 -0.000754612 0.0030448
0.08 0.904517 -0.733503 -0.000376242 0.00526412
0.09 0.938148 -0.76671 8.33891e-05 0.00774505
0.1 0.95919 -0.790355 0.000612976 0.0104374
0.11 0.96891 -0.805311 0.00120198 0.0132951
0.12 0.968495 -0.8124 0.00184058 0.0162758
0.13 0.959054 -0.812392 0.00251967 0.0193407
0.14 0.941622 -0.806011 0.00323079 0.0224545
0.15 0.917166 -0.793936 0.00396612 0.0255851
0.16 0.886583 -0.776805 0.00471845 0.0287033
0.17 0.850709 -0.75521 0.0054811 0.0317829
0.18 0.81032 -0.729709 0.00624799 0.0348005
0.19 0.766133 -0.700821 0.0070135 0.0377349
0.2 0.718813 -0.669028 0.00777254 0.0405675
0.21 0.668972 -0.63478 0.00852047 0.0432819
0.22 0.617173 -0.598495 0.00925307 0.0458639
0.23 0.563936 -0.560558 0.00996656 0.048301
0.24 0.509734 -0.521328 0.0106575 0.0505827
0.25 0.455001 -0.481135 0.011323 0.0527001
0.26 0.40013 -0.440283 0.0119602 0.0546462
0.27 0.345479 -0.399051 0.0125669 0.056415
0.28 0.291371 -0.357694 0.013141 0.0580022
0.29 0.238097 -0.316446 0.0136807 0.0594048
0.3 0.185917 -0.275519 0.0141846 0.0606208
0.31 0.135061 -0.235105 0.0146516 0.0616493
0.32 0.0857334 -0.195379 0.0150805 0.0624905
0.33 0.0381132 -0.156495 0.0154706 0.0631456
0.34 -0.00764486 -0.118593 0.0158215 0.0636162
0.35 -0.0514078 -0.0817966 0.0161328 0.0639053
0.36 -0.0930637 -0.0462139 0.0164042 0.0640161
0.37 -0.132519 -0.0119397 0.0166359 0.0639526
0.38 -0.1697 0.0209445 0.016828 0.0637193
0.39 -0.204548 0.0523692 0.0169808 0.0633214
0.4 -0.23702 0.0822765 0.0170948 0.0627643
0.41 -0.267088 0.110619 0.0171704 0.0620539
0.42 -0.294736 0.13736 0.0172084 0.0611964
0.43 -0.319961 0.162471 0.0172096 0.0601983
0.44 -0.342772 0.185933 0.0171748 0.0590665
0.45 -0.363186 0.207734 0.017105 0.0578078
0.46 -0.381231 0.227871 0.0170013 0.0564295
0.47 -0.396944 0.246347 0.0168646 0.0549388
0.48 -0.410367 0.263169 0.0166962 0.0533431
0.49 -0.421551 0.278355 0.0164972 0.0516498
0.5 -0.430554 0.291923 0.016269 0.0498663
0.51 -0.437437 0.303899 0.0160128 0.0480002
0.52 -0.442267 0.314313 0.0157299 0.0460589
0.53 -0.445117 0.323197 0.0154217 0.0440498
0.54 -0.446059 0.33059 0.0150895 0.0419803
0.55 -0.445174 0.33653 0.0147348 0.0398575
0.56 -0.442542 0.341061 0.0143589 0.0376887
0.57 -0.438245 0.344229 0.0139632 0.0354808
