r Re(potential) Im(potential) Coupling
0.01 -110 -20 0.000187738
0.02 -110 -20 0.000191531
0.03 -110 -20 0.0001954
0.04 -110 -20 0.000199347
0.05 -110 -20 0.000203374
0.06 -110 -20 0.000207483
0.07 -110 -20 0.000211674
0.08 -110 -20 0.00021595
0.09 -110 -20 0.000220313
0.1 -110 -20 0.000224763
0.11 -110 -20 0.000229304
0.12 -110 -20 0.000233936
0.13 -110 -20 0.000238662
0.14 -110 -20 0.000243483
0.15 -110 -20 0.000248402
0.16 -110 -20 0.00025342
0.17 -110 -20 0.000258539
0.18 -110 -20 0.000263762
0.19 -110 -20 0.000269091
0.2 -110 -20 0.000274527
0.21 -110 -20 0.000280072
0.22 -110 -20 0.00028573
0.23 -110 -20 0.000291502
0.24 -110 -20 0.000297391
0.25 -110 -20 0.000303399
0.26 -110 -20 0.000309528
0.27 -110 -20 0.000315781
0.28 -110 -20 0.00032216
0.29 -110 -20 0.000328668
0.3 -110 -20 0.000335307
0.31 -110 -20 0.000342081
0.32 -110 -20 0.000348991
0.33 -110 -20 0.000356042
0.34 -110 -20 0.000363234
0.35 -110 -20 0.000370572
0.36 -110 -20 0.000378058
0.37 -110 -20 0.000385695
0.38 -110 -20 0.000393487
0.39 -110 -20 0.000401436
0.4 -110 -20 0.000409545
0.41 -110 -20 0.000417818
0.42 -110 -20 0.000426259
0.43 -110 -20 0.00043487
0.44 -110 -20 0.000443655
0.45 -110 -20 0.000452617
0.46 -110 -20 0.000461761
0.47 -110 -20 0.000471089
0.48 -110 -20 0.000480606
0.49 -110 -20 0.000490314
0.5 -110 -20 0.000500219
0.51 -110 -20 0.000510324
0.52 -110 -20 0.000520634
0.53 -110 -20 0.000531151
0.54 -110 -20 0.000541881
0.55 -110 -20 0.000552828
0.56 -110 -20 0.000563996
0.57 -110 -20 0.000575389
0.58 -110 -20 0.000587013
0.59 -110 -20 0.000598871
0.6 -110 -20 0.000610969
0.61 -110 -20 0.000623311
0.62 -110 -20 0.000635903
0.63 -110 -20 0.000648749
0.64 -110 -20 0.000661855
0.65 -110 -20 0.000675225
0.66 -110 -20 0.000688865
0.67 -110 -20 0.000702781
0.68 -110 -20 0.000716978
0.69 -110 -20 0.000731462
0.7 -110 -20 0.000746239
0.71 -110 -20 0.000761314
0.72 -110 -20 0.000776693
0.73 -110 -20 0.000792383
0.74 -110 -20 0.00080839
