r, Channel 1, Channel 2
0, 0, 0
0.01, 0.0069654, 0.00202873
0.02, 0.0105487, 0.00325952
0.03, 0.0113937, 0.00382874
0.04, 0.0100679, 0.00385775
0.05, 0.007069, 0.0034541
0.06, 0.00283136, 0.00271274
0.07, -0.00226856, 0.00171699
0.08, -0.00790677, 0.000539659
0.09, -0.0138069, -0.000756136
0.1, -0.0197354, -0.00211603
0.11, -0.0254977, -0.00349362
0.12, -0.0309338, -0.00484974
0.13, -0.035915, -0.00615171
0.14, -0.0403403, -0.00737273
0.15, -0.0441335, -0.00849129
0.16, -0.0472401, -0.00949055
0.17, -0.049625, -0.0103579
0.18, -0.0512696, -0.0110844
0.19, -0.0521702, -0.0116645
0.2, -0.0523355, -0.0120955
0.21, -0.0517849, -0.0123771
0.22, -0.0505471, -0.0125112
0.23, -0.0486581, -0.0125018
0.24, -0.0461599, -0.0123542
0.25, -0.0430998, -0.0120751
0.26, -0.0395284, -0.0116723
0.27, -0.0354995, -0.0111545
0.28, -0.0310684, -0.0105311
0.29, -0.0262917, -0.00981198
0.3, -0.0212261, -0.0090073
0.31, -0.0159282, -0.00812751
0.32, -0.0104538, -0.00718315
0.33, -0.00485715, -0.00618471
0.34, 0.00080896, -0.00514259
0.35, 0.00649394, -0.00406695
0.36, 0.0121495, -0.00296772
0.37, 0.0177301, -0.00185446
0.38, 0.0231927, -0.000736343
0.39, 0.0284974, 0.000377881
0.4, 0.0336074, 0.00147994
0.41, 0.0384889, 0.00256208
0.42, 0.0431113, 0.00361704
0.43, 0.0474473, 0.00463813
0.44, 0.0514727, 0.00561921
0.45, 0.0551664, 0.00655467
0.46, 0.0585106, 0.00743949
0.47, 0.0614904, 0.0082692
0.48, 0.0640938, 0.00903989
0.49, 0.0663119, 0.00974818
0.5, 0.0681383, 0.0103912
0.51, 0.0695694, 0.0109667
0.52, 0.0706042, 0.0114728
0.53, 0.0712439, 0.0119082
0.54, 0.071492, 0.012272
0.55, 0.0713541, 0.0125638
0.56, 0.070838, 0.0127836
0.57, 0.069953, 0.0129317
0.58, 0.0687104, 0.0130089
0.59, 0.0671227, 0.0130164
0.6, 0.0652042, 0.0129557
0.61, 0.0629701, 0.0128283
0.62, 0.0604369, 0.0126365
0.63, 0.0576222, 0.0123824
0.64, 0.0545441, 0.0120687
0.65, 0.0512218, 0.0116979
0.66, 0.0476748, 0.0112731
0.67, 0.0439234, 0.0107972
0.68, 0.0399879, 0.0102736
0.69, 0.0358892, 0.00970557
0.7, 0.031648, 0.00909648
0.71, 0.0272854, 0.00844988
0.72, 0.0228222, 0.00776934
0.73, 0.0182791, 0.00705847
0.74, 0.0136767, 0.0063209
0.75, 0.00903506, 0.00556028
0.76, 0.00437413, 0.00478023
0.77, -0.000286753, 0.00398436
0.78, -0.00492871, 0.00317625
0.79, -0.00953344, 0.00235941
0.8, -0.0140833, 0.0015373
0.81, -0.0185612, 0.000713302
0.82, -0.0229508, -0.000109286
