r Re(potential) Im(potential) Coupling
0.1 -49.5919 -19.8367 0.809594
0.2 -49.5024 -19.801 0.985276
0.3 -49.3936 -19.7574 1.19813
0.4 -49.2613 -19.7045 1.45558
0.5 -49.1007 -19.6403 1.76627
0.6 -48.9059 -19.5624 2.14025
0.7 -48.6702 -19.4681 2.58896
0.8 -48.3852 -19.3541 3.12525
0.9 -48.0417 -19.2167 3.76318
1 -47.6287 -19.0515 4.51767
1.1 -47.1338 -18.8535 5.40381
1.2 -46.5431 -18.6172 6.43583
1.3 -45.8414 -18.3365 7.6255
1.4 -45.0125 -18.005 8.98003
1.5 -44.0399 -17.6159 10.4994
1.6 -42.9074 -17.163 12.1729
1.7 -41.6009 -16.6404 13.9764
1.8 -40.1092 -16.0437 15.8685
1.9 -38.4262 -15.3705 17.7894
2 -36.5529 -14.6212 19.6612
2.1 -34.4987 -13.7995 21.391
2.2 -32.2828 -12.9131 22.8784
2.3 -29.9344 -11.9738 24.0261
2.4 -27.4917 -10.9967 24.7517
2.5 -25 -10 25
2.6 -22.5083 -9.00332 24.7517
2.7 -20.0656 -8.02625 24.0261
2.8 -17.7172 -7.08687 22.8784
2.9 -15.5013 -6.20051 21.391
3 -13.4471 -5.37883 19.6612
3.1 -11.5738 -4.6295 17.7894
3.2 -9.89081 -3.95632 15.8685
3.3 -8.39908 -3.35963 13.9764
3.4 -7.09255 -2.83702 12.1729
3.5 -5.96015 -2.38406 10.4994
3.6 -4.98752 -1.99501 8.98003
3.7 -4.15863 -1.66345 7.6255
3.8 -3.45692 -1.38277 6.43583
3.9 -2.86621 -1.14648 5.40381
4 -2.37129 -0.948517 4.51767
4.1 -1.95829 -0.783314 3.76318
4.2 -1.61477 -0.645909 3.12525
4.3 -1.32985 -0.53194 2.58896
4.4 -1.09406 -0.437625 2.14025
4.5 -0.89931 -0.359724 1.76627
4.6 -0.738702 -0.295481 1.45558
4.7 -0.606422 -0.242569 1.19813
4.8 -0.49759 -0.199036 0.985276
4.9 -0.408129 -0.163251 0.809594
5 -0.334643 -0.133857 0.664806
5.1 -0.274315 -0.109726 0.54562
5.2 -0.224814 -0.0899255 0.447606
5.3 -0.184212 -0.0736848 0.367067
5.4 -0.150921 -0.0603683 0.300931
5.5 -0.123631 -0.0494525 0.246651
5.6 -0.101266 -0.0405064 0.202122
5.7 -0.0829401 -0.033176 0.165605
5.8 -0.067926 -0.0271704 0.135667
5.9 -0.0556268 -0.0222507 0.11113
6 -0.0455526 -0.018221 0.0910221
6.1 -0.0373014 -0.0149206 0.0745472
6.2 -0.030544 -0.0122176 0.0610506
6.3 -0.0250101 -0.010004 0.0499951
6.4 -0.0204784 -0.00819134 0.0409399
6.5 -0.0167675 -0.006707 0.0335238
6.6 -0.0137289 -0.00549156 0.0274503
6.7 -0.0112408 -0.00449634 0.0224766
6.8 -0.0092036 -0.00368144 0.0184038
6.9 -0.00753552 -0.00301421 0.0150688
7 -0.00616973 -0.00246789 0.0123379
7.1 -0.00505146 -0.00202058 0.0101019
7.2 -0.00413586 -0.00165434 0.00827104
7.3 -0.00338621 -0.00135448 0.00677196
7.4 -0.00277243 -0.00110897 0.00554455
7.5 -0.00226989 -0.000907957 0.00453958
7.6 -0.00185845 -0.000743379 0.00371676
7.7 -0.00152158 -0.000608631 0.00304306
7.8 -0.00124577 -0.000498308 0.00249148
7.9 -0.00101995 -0.000407982 0.00203987
8 -0.000835071 -0.000334028 0.00167011
8.1 -0.0006837 -0.00027348 0.00136738
8.2 -0.000559768 -0.000223907 0.00111952
8.3 -0.0004583 -0.00018332 0.000916592
8.4 -0.000375225 -0.00015009 0.000750445
8.5 -0.000307209 -0.000122883 0.000614414
8.6 -0.000251522 -0.000100609 0.00050304
8.7 -0.000205929 -8.23714e-05 0.000411855
8.8 -0.0001686 -6.74401e-05 0.000337199
8.9 -0.000138038 -5.52153e-05 0.000276076
9 -0.000113016 -4.52065e-05 0.000226032
9.1 -9.25299e-05 -3.7012e-05 0.000185059
9.2 -7.57571e-05 -3.03028e-05 0.000151514
9.3 -6.20247e-05 -2.48099e-05 0.000124049
9.4 -5.07815e-05 -2.03126e-05 0.000101563
9.5 -4.15764e-05 -1.66306e-05 8.31527e-05
9.6 -3.40399e-05 -1.3616e-05 6.80797e-05
9.7 -2.78695e-05 -1.11478e-05 5.5739e-05
9.8 -2.28176e-05 -9.12705e-06 4.56352e-05
9.9 -1.86815e-05 -7.4726e-06 3.7363e-05
10 -1.52951e-05 -6.11804e-06 3.05902e-05
10.1 -1.25226e-05 -5.00903e-06 2.50452e-05
10.2 -1.02526e-05 -4.10105e-06 2.05052e-05
10.3 -8.39414e-06 -3.35765e-06 1.67883e-05
10.4 -6.87254e-06 -2.74902e-06 1.37451e-05
10.5 -5.62676e-06 -2.2507e-06 1.12535e-05
10.6 -4.6068e-06 -1.84272e-06 9.2136e-06
10.7 -3.77173e-06 -1.50869e-06 7.54346e-06
10.8 -3.08803e-06 -1.23521e-06 6.17606e-06
