r Channel_1(Re) Channel_1(Im) Channel_1(abs) Channel_2(Re) Channel_2(Im) Channel_2(abs)
0 0 0 0 0 0 0
0.1 -0.492568 0.0949411 0.501635 -0.0017734 -0.00554587 0.00582251
0.2 -0.838032 0.161527 0.853457 -0.0133734 -0.0415642 0.0436627
0.3 -0.933589 0.17993 0.95077 -0.0406241 -0.125593 0.132
0.4 -0.751268 0.144722 0.765081 -0.0824962 -0.253834 0.266903
0.5 -0.34586 0.0663897 0.352174 -0.130617 -0.400224 0.420999
0.6 0.161948 -0.0319113 0.165062 -0.171397 -0.5235 0.550845
0.7 0.621932 -0.12132 0.633654 -0.190194 -0.580127 0.610509
0.8 0.899092 -0.175823 0.916122 -0.176225 -0.538983 0.56706
0.9 0.913292 -0.179795 0.930821 -0.126706 -0.393046 0.412964
1 0.661998 -0.132317 0.675091 -0.0488078 -0.164149 0.171252
1.1 0.219663 -0.047065 0.224648 0.0413116 0.100965 0.10909
1.2 -0.285522 0.0520206 0.290222 0.12232 0.342348 0.363544
1.3 -0.709944 0.137831 0.723199 0.173389 0.502897 0.531949
1.4 -0.936074 0.187698 0.954707 0.18016 0.543971 0.573029
1.5 -0.904738 0.189269 0.924323 0.13925 0.455919 0.47671
1.6 -0.629088 0.143061 0.64515 0.0598795 0.260493 0.267287
1.7 -0.187254 0.0612869 0.197029 -0.0379999 0.00465239 0.0382836
1.8 0.302738 -0.0362904 0.304906 -0.128707 -0.252103 0.283057
1.9 0.717068 -0.127917 0.728388 -0.187615 -0.452915 0.490236
2 0.95859 -0.195044 0.978232 -0.197808 -0.556841 0.590931
2.1 0.978651 -0.225838 1.00437 -0.154658 -0.546774 0.568226
2.2 0.783494 -0.216426 0.812836 -0.0670075 -0.430535 0.435718
2.3 0.425776 -0.170131 0.458509 0.0453237 -0.235848 0.240164
2.4 -0.0140064 -0.0954435 0.0964658 0.156814 -0.00155555 0.156822
2.5 -0.449345 -0.00358623 0.44936 0.242611 0.231966 0.335661
2.6 -0.806476 0.0936534 0.811896 0.284102 0.430641 0.515912
2.7 -1.03611 0.185508 1.05258 0.272279 0.571343 0.632905
2.8 -1.11713 0.263188 1.14771 0.208365 0.643158 0.676069
2.9 -1.05368 0.320326 1.10129 0.102083 0.645996 0.654012
3 -0.868365 0.353057 0.937393 -0.0314817 0.587694 0.588537
3.1 -0.594189 0.359866 0.694668 -0.175327 0.480742 0.511715
3.2 -0.267399 0.341273 0.433554 -0.313457 0.339385 0.461992
3.3 0.0778107 0.299439 0.309384 -0.432819 0.177507 0.467804
3.4 0.412457 0.237734 0.476065 -0.524224 0.00735083 0.524276
3.5 0.71413 0.160312 0.731902 -0.582418 -0.161064 0.604278
3.6 0.967073 0.0717369 0.96973 -0.60561 -0.320026 0.684967
