r, Channel 1
0, 0
0.01, 0.00466337
0.02, 0.00932665
0.03, 0.0139897
0.04, 0.0186525
0.05, 0.0233148
0.06, 0.0279767
0.07, 0.0326379
0.08, 0.0372985
0.09, 0.0419582
0.1, 0.046617
0.11, 0.0512748
0.12, 0.0559315
0.13, 0.060587
0.14, 0.0652411
0.15, 0.0698938
0.16, 0.074545
0.17, 0.0791946
0.18, 0.0838425
0.19, 0.0884885
0.2, 0.0931327
0.21, 0.0977748
0.22, 0.102415
0.23, 0.107052
0.24, 0.111688
0.25, 0.116321
0.26, 0.120951
0.27, 0.125579
0.28, 0.130204
0.29, 0.134826
0.3, 0.139446
0.31, 0.144062
0.32, 0.148675
0.33, 0.153285
0.34, 0.157892
0.35, 0.162495
0.36, 0.167095
0.37, 0.171691
0.38, 0.176283
0.39, 0.180871
0.4, 0.185456
0.41, 0.190036
0.42, 0.194613
0.43, 0.199185
0.44, 0.203752
0.45, 0.208316
0.46, 0.212875
0.47, 0.217429
0.48, 0.221978
0.49, 0.226523
0.5, 0.231062
0.51, 0.235597
0.52, 0.240127
0.53, 0.244651
0.54, 0.24917
0.55, 0.253684
0.56, 0.258192
0.57, 0.262694
0.58, 0.267191
0.59, 0.271682
0.6, 0.276167
0.61, 0.280646
0.62, 0.285119
0.63, 0.289585
0.64, 0.294046
0.65, 0.2985
0.66, 0.302947
0.67, 0.307388
0.68, 0.311822
0.69, 0.31625
0.7, 0.32067
0.71, 0.325084
0.72, 0.329491
0.73, 0.33389
0.74, 0.338282
0.75, 0.342667
0.76, 0.347044
0.77, 0.351414
0.78, 0.355776
0.79, 0.36013
0.8, 0.364477
0.81, 0.368816
0.82, 0.373146
0.83, 0.377469
0.84, 0.381783
0.85, 0.386089
0.86, 0.390386
0.87, 0.394676
0.88, 0.398956
0.89, 0.403228
0.9, 0.407491
0.91, 0.411745
0.92, 0.41599
0.93, 0.420227
0.94, 0.424454
0.95, 0.428671
0.96, 0.43288
0.97, 0.437079
0.98, 0.441269
0.99, 0.445449
1, 0.449619
1.01, 0.453779
1.02, 0.45793
1.03, 0.462071
1.04, 0.466201
1.05, 0.470322
1.06, 0.474432
1.07, 0.478532
1.08, 0.482622
1.09, 0.486701
1.1, 0.490769
1.11, 0.494827
1.12, 0.498874
1.13, 0.50291
1.14, 0.506936
1.15, 0.51095
1.16, 0.514953
1.17, 0.518945
1.18, 0.522925
1.19, 0.526895
1.2, 0.530852
1.21, 0.534799
1.22, 0.538733
1.23, 0.542656
1.24, 0.546567
1.25, 0.550467
1.26, 0.554354
1.27, 0.558229
1.28, 0.562092
1.29, 0.565943
1.3, 0.569781
1.31, 0.573607
1.32, 0.577421
1.33, 0.581222
1.34, 0.585011
1.35, 0.588786
1.36, 0.592549
1.37, 0.596299
1.38, 0.600036
1.39, 0.60376
1.4, 0.607471
1.41, 0.611169
1.42, 0.614853
1.43, 0.618524
1.44, 0.622182
1.45, 0.625826
1.46, 0.629456
1.47, 0.633073
1.48, 0.636676
1.49, 0.640265
1.5, 0.643841
1.51, 0.647402
1.52, 0.650949
1.53, 0.654482
1.54, 0.658
1.55, 0.661505
1.56, 0.664995
1.57, 0.668471
1.58, 0.671932
1.59, 0.675378
1.6, 0.67881
1.61, 0.682227
1.62, 0.685629
1.63, 0.689016
1.64, 0.692388
1.65, 0.695745
1.66, 0.699087
1.67, 0.702414
1.68, 0.705726
1.69, 0.709022
1.7, 0.712303
1.71, 0.715568
1.72, 0.718818
1.73, 0.722052
1.74, 0.72527
1.75, 0.728473
1.76, 0.73166
1.77, 0.734831
1.78, 0.737986
1.79, 0.741124
1.8, 0.744247
1.81, 0.747354
1.82, 0.750444
1.83, 0.753518
1.84, 0.756576
1.85, 0.759617
1.86, 0.762641
1.87, 0.765649
1.88, 0.768641
1.89, 0.771615
1.9, 0.774573
1.91, 0.777514
1.92, 0.780438
1.93, 0.783346
1.94, 0.786236
1.95, 0.789109
1.96, 0.791965
1.97, 0.794803
1.98, 0.797625
1.99, 0.800429
2, 0.803215
2.01, 0.805984
2.02, 0.808736
2.03, 0.81147
2.04, 0.814186
2.05, 0.816885
2.06, 0.819566
2.07, 0.822229
2.08, 0.824874
2.09, 0.827501
2.1, 0.830111
2.11, 0.832702
2.12, 0.835275
2.13, 0.83783
2.14, 0.840366
2.15, 0.842885
2.16, 0.845385
2.17, 0.847867
2.18, 0.85033
2.19, 0.852775
2.2, 0.855201
2.21, 0.857609
2.22, 0.859998
2.23, 0.862368
2.24, 0.864719
2.25, 0.867052
2.26, 0.869366
2.27, 0.871661
2.28, 0.873937
2.29, 0.876194
2.3, 0.878432
2.31, 0.880651
2.32, 0.88285
2.33, 0.885031
2.34, 0.887192
2.35, 0.889334
2.36, 0.891457
2.37, 0.89356
2.38, 0.895644
2.39, 0.897708
2.4, 0.899753
2.41, 0.901778
2.42, 0.903783
2.43, 0.905769
2.44, 0.907736
2.45, 0.909682
2.46, 0.911609
2.47, 0.913516
2.48, 0.915403
2.49, 0.91727
2.5, 0.919117
2.51, 0.920944
