r Channel_1(Re) Channel_1(Im) Channel_2(Re) Channel_2(Im)
0 0 0 0 0
0.1 -0.133455 0.347938 0.000483531 -0.00126162
0.2 -0.263981 0.688267 0.00317784 -0.0082822
0.3 -0.393946 1.02713 0.0117901 -0.0307566
0.4 -0.523198 1.36411 0.0278807 -0.0727672
0.5 -0.650516 1.69604 0.0520136 -0.135788
0.6 -0.774434 2.01909 0.0843824 -0.220324
0.7 -0.89363 2.32984 0.125073 -0.326597
0.8 -1.00705 2.62553 0.174095 -0.454637
0.9 -1.11385 2.90397 0.231294 -0.604048
1 -1.2133 3.16323 0.296215 -0.773655
1.1 -1.30463 3.40131 0.367978 -0.961175
1.2 -1.38695 3.61586 0.445192 -1.163
1.3 -1.45913 3.80397 0.525938 -1.37414
1.4 -1.51987 3.96215 0.607798 -1.58831
1.5 -1.56761 4.0864 0.687958 -1.79819
1.6 -1.6007 4.17235 0.76334 -1.99576
1.7 -1.61743 4.21554 0.830772 -2.17277
1.8 -1.61615 4.21166 0.887165 -2.32119
1.9 -1.5954 4.15685 0.92969 -2.43365
2 -1.554 4.04799 0.955941 -2.50392
2.1 -1.49113 3.88293 0.964065 -2.52719
2.2 -1.40643 3.66064 0.952864 -2.50038
2.3 -1.29999 3.38137 0.921855 -2.42228
2.4 -1.17245 3.04667 0.87129 -2.29362
2.5 -1.02491 2.65935 0.802139 -2.11699
2.6 -0.858943 2.22347 0.716039 -1.89675
2.7 -0.676535 1.74411 0.615212 -1.63876
2.8 -0.480013 1.22728 0.502358 -1.35017
2.9 -0.271965 0.67965 0.380537 -1.03904
3 -0.0551584 0.10837 0.253038 -0.714056
3.1 0.167554 -0.479175 0.12325 -0.384138
3.2 0.393312 -1.07558 -0.00546951 -0.0581395
3.3 0.619335 -1.67364 -0.129903 0.25547
3.4 0.842984 -2.26649 -0.247079 0.548869
3.5 1.06182 -2.84779 -0.354357 0.815106
3.6 1.27366 -3.41184 -0.449487 1.04826
3.7 1.47659 -3.95364 -0.530653 1.24358
3.8 1.669 -4.46894 -0.596498 1.39748
3.9 1.84957 -4.95426 -0.646121 1.50762
4 2.01728 -5.40687 -0.679067 1.57283
4.1 2.17138 -5.82473 -0.695292 1.59302
4.2 2.31138 -6.20648 -0.69512 1.56908
4.3 2.43699 -6.55127 -0.679194 1.50274
4.4 2.54814 -6.85875 -0.648413 1.39643
4.5 2.64487 -7.12894 -0.603874 1.25308
4.6 2.72736 -7.36215 -0.546812 1.07601
4.7 2.79584 -7.55889 -0.478539 0.868741
4.8 2.85062 -7.71977 -0.40039 0.634877
4.9 2.89202 -7.84547 -0.313682 0.377963
5 2.92033 -7.93666 -0.219672 0.101399
5.1 2.93586 -7.99398 -0.119527 -0.191647
5.2 2.93888 -8.01798 -0.0143034 -0.498292
5.3 2.92962 -8.00917 0.0950636 -0.815969
5.4 2.9083 -7.96793 0.207765 -1.14244
5.5 2.87509 -7.89464 0.323116 -1.4758
5.6 2.83015 -7.78959 0.440544 -1.81442
5.7 2.77365 -7.65309 0.559576 -2.15695
5.8 2.70574 -7.48546 0.679823 -2.50226
5.9 2.62659 -7.28708 0.800957 -2.84937
6 2.53643 -7.05843 0.922695 -3.19742
6.1 2.43551 -6.80011 1.04478 -3.54564
6.2 2.32412 -6.51286 1.16695 -3.89325
6.3 2.20266 -6.19762 1.28895 -4.23946
6.4 2.07155 -5.85548 1.4105 -4.58344
6.5 1.9313 -5.48775 1.5313 -4.92429
6.6 1.78249 -5.09593 1.65099 -5.26102
6.7 1.62578 -4.6817 1.76921 -5.59257
6.8 1.46186 -4.24692 1.88555 -5.91779
6.9 1.29152 -3.79361 1.99958 -6.23549
7 1.11555 -3.3239 2.11087 -6.54442
7.1 0.934815 -2.84004 2.21896 -6.84334
7.2 0.750176 -2.34434 2.3234 -7.13099
7.3 0.562524 -1.83917 2.42376 -7.40619
7.4 0.372752 -1.32691 2.51964 -7.6678
7.5 0.181745 -0.809945 2.61065 -7.91479
7.6 -0.00962399 -0.290617 2.69647 -8.14623
7.7 -0.200504 0.228771 2.77679 -8.3613
7.8 -0.390069 0.745976 2.85139 -8.55934
7.9 -0.577523 1.25883 2.92006 -8.7398
8 -0.762098 1.76522 2.98265 -8.90226
8.1 -0.943059 2.26314 3.03907 -9.04641
8.2 -1.1197 2.75064 3.08923 -9.17204
8.3 -1.29135 3.22582 3.13309 -9.27903
8.4 -1.45734 3.68687 3.17063 -9.36729
8.5 -1.61706 4.13202 3.20183 -9.4368
8.6 -1.76988 4.55955 3.22668 -9.48751
8.7 -1.9152 4.96778 3.24517 -9.51941
8.8 -2.05246 5.35506 3.25726 -9.53244
8.9 -2.18107 5.7198 3.26292 -9.5265
9 -2.3005 6.06042 3.26209 -9.50147
9.1 -2.4102 6.3754 3.25469 -9.45718
9.2 -2.50967 6.6633 3.24062 -9.39343
9.3 -2.59841 6.92271 3.2198 -9.31001
9.4 -2.67598 7.15233 3.19211 -9.20669
9.5 -2.74196 7.35098 3.15746 -9.08326
9.6 -2.79598 7.51758 3.11575 -8.93955
9.7 -2.83774 7.6512 3.06693 -8.77546
9.8 -2.86698 7.75109 3.01095 -8.59095
9.9 -2.88352 7.81667 2.94782 -8.38613
10 -2.88725 7.84755 2.87758 -8.16119
10.1 -2.87813 7.84356 2.80034 -7.91647
10.2 -2.85622 7.80472 2.71625 -7.65247
10.3 -2.82163 7.73127 2.6255 -7.36979
10.4 -2.77455 7.62365 2.52835 -7.0692
10.5 -2.71527 7.48251 2.42509 -6.75157
10.6 -2.6441 7.30864 2.31605 -6.41785
10.7 -2.56146 7.10302 2.20158 -6.06909
10.8 -2.46776 6.86676 2.08205 -5.70637
10.9 -2.3635 6.60107 1.95784 -5.33078
11 -2.2492 6.30727 1.82931 -4.9434
11.1 -2.12538 5.98675 1.69681 -4.54527
11.2 -1.99261 5.64095 1.56068 -4.13738
11.3 -1.85146 5.27136 1.42122 -3.72064
11.4 -1.70251 4.87949 1.2787 -3.2959
11.5 -1.54635 4.46691 1.13337 -2.86392
11.6 -1.38358 4.0352 0.985451 -2.42543
11.7 -1.21483 3.58603 0.835173 -1.98114
11.8 -1.04072 3.12108 0.682751 -1.53173
11.9 -0.861935 2.64216 0.528418 -1.07795
12 -0.679166 2.15114 0.372435 -0.620598
12.1 -0.493156 1.65002 0.215103 -0.160588
12.2 -0.30469 1.14091 0.0567723 0.301041
12.3 -0.114596 0.626065 -0.102151 0.763107
12.4 0.076253 0.107825 -0.261204 1.22428
12.5 0.266951 -0.411352 -0.419873 1.68311
12.6 0.456566 -0.92894 -0.577606 2.13802
12.7 0.644155 -1.44238 -0.733828 2.58741
12.8 0.828783 -1.94914 -0.887966 3.02967
12.9 1.00954 -2.44674 -1.03947 3.46326
13 1.18558 -2.93282 -1.18785 3.8868
13.1 1.35609 -3.4052 -1.33268 4.29906
13.2 1.52037 -3.86189 -1.47362 4.69911
13.3 1.67778 -4.30113 -1.61044 5.08621
13.4 1.82777 -4.72133 -1.74297 5.45989
13.5 1.96985 -5.12112 -1.87113 5.81981
13.6 2.10359 -5.49922 -1.99483 6.16573
13.7 2.22855 -5.85436 -2.11399 6.49732
13.8 2.34428 -6.18523 -2.2284 6.81404
13.9 2.45028 -6.4904 -2.33777 7.11504
14 2.54595 -6.76822 -2.44163 7.39904
14.1 2.63067 -7.0169 -2.53935 7.66439
14.2 2.70375 -7.23456 -2.63022 7.90917
14.3 2.76458 -7.41947 -2.71354 8.13155
14.4 2.81271 -7.57036 -2.78882 8.3302
14.5 2.84799 -7.68673 -2.85594 8.50482
14.6 2.87067 -7.7691 -2.91531 8.65648
14.7 2.88136 -7.81898 -2.96783 8.78755
14.8 2.8807 -7.83792 -3.01438 8.90034
