r, Re(potential), Im(potential), Coupling
0.1, -4.28552e-06, -2.14276e-06, 3.97499e-07
0.2, -1.66145e-05, -8.30725e-06, 1.54996e-06
0.3, -5.75314e-05, -2.87657e-05, 5.70875e-06
0.4, -0.000187663, -9.38314e-05, 1.9859e-05
0.5, -0.000578464, -0.000289232, 6.52433e-05
0.6, -0.00168526, -0.00084263, 0.000202413
0.7, -0.00464021, -0.0023201, 0.000592964
0.8, -0.0120745, -0.00603725, 0.00164009
0.9, -0.0296922, -0.0148461, 0.0042827
1, -0.0689983, -0.0344992, 0.010557
1.1, -0.151509, -0.0757546, 0.0245641
1.2, -0.314358, -0.157179, 0.0539461
1.3, -0.61628, -0.30814, 0.11181
1.4, -1.14151, -0.570756, 0.218689
1.5, -1.99764, -0.998818, 0.403615
1.6, -3.30269, -1.65135, 0.702858
1.7, -5.15848, -2.57924, 1.15478
1.8, -7.61137, -3.80568, 1.78991
1.9, -10.6091, -5.30455, 2.61723
2, -13.9687, -6.98437, 3.60998
2.1, -17.3736, -8.68679, 4.69681
2.2, -20.4111, -10.2056, 5.76393
2.3, -22.6507, -11.3254, 6.67174
2.4, -23.7428, -11.8714, 7.28375
2.5, -23.5079, -11.7539, 7.5
2.6, -21.9849, -10.9925, 7.28375
2.7, -19.4208, -9.71042, 6.67174
2.8, -16.2048, -8.10242, 5.76393
2.9, -12.772, -6.38602, 4.69681
3, -9.50869, -4.75434, 3.60998
3.1, -6.68705, -3.34353, 2.61723
3.2, -4.44234, -2.22117, 1.78991
3.3, -2.78781, -1.39391, 1.15478
3.4, -1.65273, -0.826367, 0.702858
3.5, -0.925643, -0.462822, 0.403615
3.6, -0.48978, -0.24489, 0.218689
3.7, -0.244845, -0.122422, 0.11181
3.8, -0.115646, -0.0578229, 0.0539461
3.9, -0.0516104, -0.0258052, 0.0245641
4, -0.0217635, -0.0108818, 0.010557
4.1, -0.00867213, -0.00433607, 0.0042827
4.2, -0.00326547, -0.00163273, 0.00164009
4.3, -0.001162, -0.000581001, 0.000592964
4.4, -0.000390777, -0.000195389, 0.000202413
4.5, -0.000124203, -6.21014e-05, 6.52433e-05
4.6, -3.73106e-05, -1.86553e-05, 1.9859e-05
4.7, -1.05937e-05, -5.29687e-06, 5.70875e-06
4.8, -2.84317e-06, -1.42158e-06, 1.54996e-06
4.9, -7.21287e-07, -3.60643e-07, 3.97499e-07
5, -1.72975e-07, -8.64875e-08, 9.62979e-08
5.1, -3.92144e-08, -1.96072e-08, 2.20393e-08
5.2, -8.40447e-09, -4.20223e-09, 4.76555e-09
5.3, -1.70292e-09, -8.51458e-10, 9.73625e-10
5.4, -3.26219e-10, -1.63109e-10, 1.87959e-10
