r Re(potential) Im(potential) Coupling
0.1 0 0 4.63046
0.2 0 0 5.35716
0.3 0 0 6.18984
0.4 0 0 7.1412
0.5 0 0 8.22452
0.6 0 0 9.45327
0.7 0 0 10.8407
0.8 0 0 12.3991
0.9 0 0 14.1388
1 0 0 16.0675
1.1 0 0 18.1881
1.2 0 0 20.498
1.3 0 0 22.9866
1.4 0 0 25.634
1.5 0 0 28.4091
1.6 0 0 31.2684
1.7 0 0 34.1556
1.8 0 0 37.0016
1.9 0 0 39.7269
2 0 0 42.2443
2.1 0 0 44.4636
2.2 0 0 46.298
2.3 0 0 47.6705
2.4 0 0 48.52
2.5 0 0 48.8077
2.6 0 0 48.52
2.7 0 0 47.6705
2.8 0 0 46.298
2.9 0 0 44.4636
3 0 0 42.2443
3.1 0 0 39.7269
3.2 0 0 37.0016
3.3 0 0 34.1556
3.4 0 0 31.2684
3.5 0 0 28.4091
3.6 0 0 25.634
3.7 0 0 22.9866
3.8 0 0 20.498
3.9 0 0 18.1881
4 0 0 16.0675
4.1 0 0 14.1388
4.2 0 0 12.3991
4.3 0 0 10.8407
4.4 0 0 9.45327
4.5 0 0 8.22452
4.6 0 0 7.1412
4.7 0 0 6.18984
4.8 0 0 5.35716
4.9 0 0 4.63046
5 0 0 3.99784
5.1 0 0 3.4483
5.2 0 0 2.97181
5.3 0 0 2.55932
5.4 0 0 2.20271
5.5 0 0 1.89477
5.6 0 0 1.62914
5.7 0 0 1.40019
5.8 0 0 1.203
5.9 0 0 1.03328
6 0 0 0.887288
6.1 0 0 0.761756
6.2 0 0 0.653863
6.3 0 0 0.561162
6.4 0 0 0.481539
6.5 0 0 0.413164
6.6 0 0 0.354463
6.7 0 0 0.304076
6.8 0 0 0.260832
6.9 0 0 0.223724
7 0 0 0.191884
7.1 0 0 0.164568
7.2 0 0 0.141136
7.3 0 0 0.121035
7.4 0 0 0.103794
7.5 0 0 0.0890072
7.6 0 0 0.0763251
7.7 0 0 0.0654487
7.8 0 0 0.0561213
7.9 0 0 0.0481226
8 0 0 0.0412634
8.1 0 0 0.0353815
8.2 0 0 0.0303378
8.3 0 0 0.0260129
8.4 0 0 0.0223044
8.5 0 0 0.0191245
8.6 0 0 0.0163979
8.7 0 0 0.01406
8.8 0 0 0.0120553
8.9 0 0 0.0103365
9 0 0 0.00886266
9.1 0 0 0.00759898
9.2 0 0 0.00651546
9.3 0 0 0.00558644
9.4 0 0 0.00478987
