r, Channel 1, Channel 2
0, 0, 0
0.01, 0.005567, 1.04306e-05
0.02, 0.0111614, -3.26704e-05
0.03, 0.0167577, -7.13062e-05
0.04, 0.0223442, -8.45699e-05
0.05, 0.0279169, -7.19183e-05
0.06, 0.033476, -4.22676e-05
0.07, 0.0390238, -7.26341e-06
0.08, 0.0445627, 2.2528e-05
0.09, 0.0500946, 3.94547e-05
0.1, 0.0556205, 3.9336e-05
0.11, 0.0611403, 2.12502e-05
0.12, 0.0666531, -1.30903e-05
0.13, 0.0721574, -6.0133e-05
0.14, 0.077651, -0.000115287
0.15, 0.0831315, -0.000173636
0.16, 0.0885966, -0.000230522
0.17, 0.0940437, -0.000281957
0.18, 0.0994708, -0.000324894
0.19, 0.104876, -0.000357354
0.2, 0.110258, -0.000378433
0.21, 0.115614, -0.000388221
0.22, 0.120945, -0.000387658
0.23, 0.12625, -0.000378347
0.24, 0.131527, -0.000362347
0.25, 0.136777, -0.000341971
0.26, 0.142, -0.000319585
0.27, 0.147194, -0.000297444
0.28, 0.15236, -0.000277546
0.29, 0.157498, -0.000261527
0.3, 0.162606, -0.000250583
0.31, 0.167685, -0.000245434
0.32, 0.172734, -0.000246316
0.33, 0.177752, -0.000252996
0.34, 0.182738, -0.000264816
0.35, 0.18769, -0.000280752
0.36, 0.192609, -0.000299487
0.37, 0.197492, -0.000319492
0.38, 0.202338, -0.000339111
0.39, 0.207146, -0.000356645
0.4, 0.211914, -0.000370433
0.41, 0.216641, -0.000378922
0.42, 0.221326, -0.000380736
0.43, 0.225967, -0.000374729
0.44, 0.230562, -0.000360022
0.45, 0.235112, -0.000336038
0.46, 0.239613, -0.000302515
0.47, 0.244066, -0.000259512
0.48, 0.24847, -0.000207403
0.49, 0.252822, -0.00014686
0.5, 0.257124, -7.88261e-05
0.51, 0.261374, -4.48744e-06
0.52, 0.265571, 7.47705e-05
0.53, 0.269714, 0.000157403
0.54, 0.273804, 0.000241753
0.55, 0.27784, 0.000326098
0.56, 0.281821, 0.000408692
0.57, 0.285747, 0.000487821
0.58, 0.289618, 0.000561833
0.59, 0.293433, 0.000629189
0.6, 0.297191, 0.000688488
0.61, 0.300893, 0.000738502
0.62, 0.304538, 0.000778201
0.63, 0.308125, 0.000806769
0.64, 0.311654, 0.000823618
0.65, 0.315124, 0.000828396
0.66, 0.318535, 0.000820989
0.67, 0.321886, 0.000801515
0.68, 0.325176, 0.00077032
0.69, 0.328405, 0.000727958
0.7, 0.331571, 0.000675184
0.71, 0.334675, 0.000612926
0.72, 0.337714, 0.000542264
0.73, 0.34069, 0.000464407
0.74, 0.343599, 0.000380666
0.75, 0.346443, 0.000292425
0.76, 0.349219, 0.000201116
0.77, 0.351927, 0.000108191
0.78, 0.354566, 1.50947e-05
0.79, 0.357136, -7.67608e-05
0.8, 0.359636, -0.000166018
0.81, 0.362064, -0.000251395
0.82, 0.364421, -0.000331708
0.83, 0.366705, -0.000405885
