r, Channel 1
0, 0
0.01, 0.0143308
0.02, 0.028714
0.03, 0.0431444
0.04, 0.0576169
0.05, 0.0721263
0.06, 0.0866676
0.07, 0.101236
0.08, 0.115825
0.09, 0.130432
0.1, 0.14505
0.11, 0.159675
0.12, 0.174302
0.13, 0.188925
0.14, 0.203541
0.15, 0.218144
0.16, 0.232729
0.17, 0.247291
0.18, 0.261826
0.19, 0.276328
0.2, 0.290794
0.21, 0.305218
0.22, 0.319595
0.23, 0.333921
0.24, 0.348191
0.25, 0.3624
0.26, 0.376544
0.27, 0.390618
0.28, 0.404618
0.29, 0.418538
0.3, 0.432375
0.31, 0.446124
0.32, 0.45978
0.33, 0.47334
0.34, 0.486797
0.35, 0.50015
0.36, 0.513392
0.37, 0.526519
0.38, 0.539529
0.39, 0.552415
0.4, 0.565174
0.41, 0.577803
0.42, 0.590296
0.43, 0.60265
0.44, 0.614861
0.45, 0.626925
0.46, 0.638839
0.47, 0.650598
0.48, 0.662198
0.49, 0.673637
0.5, 0.684909
0.51, 0.696013
0.52, 0.706944
0.53, 0.717699
0.54, 0.728274
0.55, 0.738667
0.56, 0.748874
0.57, 0.758891
0.58, 0.768717
0.59, 0.778347
0.6, 0.787778
0.61, 0.797009
0.62, 0.806036
0.63, 0.814856
0.64, 0.823467
0.65, 0.831867
0.66, 0.840052
0.67, 0.84802
0.68, 0.855769
0.69, 0.863297
0.7, 0.870601
0.71, 0.87768
0.72, 0.884531
0.73, 0.891153
0.74, 0.897543
0.75, 0.9037
0.76, 0.909623
0.77, 0.915309
0.78, 0.920757
0.79, 0.925966
0.8, 0.930934
0.81, 0.93566
0.82, 0.940143
0.83, 0.944382
0.84, 0.948376
0.85, 0.952123
0.86, 0.955624
0.87, 0.958877
0.88, 0.961881
0.89, 0.964637
0.9, 0.967143
0.91, 0.969399
0.92, 0.971405
0.93, 0.973161
0.94, 0.974666
0.95, 0.975921
0.96, 0.976924
0.97, 0.977677
0.98, 0.97818
0.99, 0.978432
1, 0.978434
1.01, 0.978187
1.02, 0.977691
1.03, 0.976946
1.04, 0.975953
1.05, 0.974713
1.06, 0.973227
1.07, 0.971495
1.08, 0.969518
1.09, 0.967298
1.1, 0.964834
1.11, 0.96213
1.12, 0.959185
