r Channel_1(Re) Channel_1(Im) Channel_2(Re) Channel_2(Im)
0 0 0 0 0
   0.004  2.7578E-03  6.8615E-03   -1.7318E-08  1.2501E-08
   0.022  1.4516E-02  3.6116E-02   -2.5060E-06  1.8757E-06
   0.055  3.5584E-02  8.8533E-02   -3.6853E-05  2.8129E-05
   0.102  6.5719E-02  1.6351E-01   -2.3330E-04  1.8062E-04
   0.163  1.0435E-01  2.5961E-01   -9.4840E-04  7.4291E-04
   0.238  1.5035E-01  3.7406E-01   -2.9279E-03  2.3177E-03
   0.326  2.0183E-01  5.0214E-01   -7.4811E-03  5.9812E-03
   0.428  2.5589E-01  6.3666E-01   -1.6624E-02  1.3423E-02
   0.542  3.0852E-01  7.6762E-01   -3.3132E-02  2.7025E-02
   0.669  3.5458E-01  8.8228E-01   -6.0433E-02  4.9829E-02
   0.808  3.8809E-01  9.6584E-01   -1.0228E-01  8.5321E-02
   0.958  4.0276E-01  1.0028E+00   -1.6213E-01  1.3700E-01
   1.119  3.9283E-01  9.7933E-01   -2.4232E-01  2.0770E-01
   1.290  3.5405E-01  8.8565E-01   -3.4309E-01  2.9876E-01
   1.471  2.8473E-01  7.1927E-01   -4.6171E-01  4.0905E-01
   1.661  1.8644E-01  4.8713E-01   -5.9212E-01  5.3418E-01
   1.858  6.4098E-02  2.0639E-01   -7.2534E-01  6.6611E-01
   2.063 -7.4718E-02 -9.7110E-02   -8.5097E-01  7.9351E-01
   2.275 -2.2113E-01 -3.9308E-01   -9.5958E-01  9.0330E-01
   2.492 -3.6648E-01 -6.5289E-01   -1.0452E+00  9.8338E-01
   2.714 -5.0341E-01 -8.5549E-01   -1.1066E+00  1.0259E+00
   2.940 -6.2627E-01 -9.9073E-01   -1.1471E+00  1.0293E+00
   3.169 -7.3093E-01 -1.0587E+00   -1.1725E+00  9.9806E-01
   3.401 -8.1458E-01 -1.0661E+00   -1.1884E+00  9.4020E-01
   3.633 -8.7545E-01 -1.0228E+00   -1.1994E+00  8.6409E-01
   3.867 -9.1268E-01 -9.3842E-01   -1.2081E+00  7.7664E-01
   4.099 -9.2619E-01 -8.2199E-01   -1.2158E+00  6.8271E-01
   4.331 -9.1660E-01 -6.8127E-01   -1.2225E+00  5.8536E-01
   4.560 -8.8520E-01 -5.2318E-01   -1.2276E+00  4.8641E-01
   4.786 -8.3393E-01 -3.5397E-01   -1.2304E+00  3.8703E-01
   5.008 -7.6523E-01 -1.7937E-01   -1.2301E+00  2.8803E-01
   5.225 -6.8199E-01 -4.5705E-03   -1.2259E+00  1.9017E-01
   5.437 -5.8740E-01  1.6581E-01   -1.2173E+00  9.4152E-02
   5.642 -4.8476E-01  3.2784E-01   -1.2041E+00  7.4245E-04
   5.839 -3.7735E-01  4.7836E-01   -1.1862E+00 -8.9303E-02
   6.029 -2.6828E-01  6.1502E-01   -1.1640E+00 -1.7525E-01
   6.210 -1.6035E-01  7.3630E-01   -1.1378E+00 -2.5643E-01
   6.381 -5.5980E-02  8.4147E-01   -1.1083E+00 -3.3227E-01
   6.542  4.2850E-02  9.3052E-01   -1.0763E+00 -4.0230E-01
   6.692  1.3462E-01  1.0041E+00   -1.0426E+00 -4.6621E-01
   6.831  2.1827E-01  1.0632E+00   -1.0082E+00 -5.2380E-01
   6.958  2.9314E-01  1.1095E+00   -9.7400E-01 -5.7502E-01
   7.072  3.5893E-01  1.1444E+00   -9.4087E-01 -6.1990E-01
   7.174  4.1561E-01  1.1700E+00   -9.0968E-01 -6.5858E-01
   7.262  4.6338E-01  1.1879E+00   -8.8123E-01 -6.9125E-01
   7.337  5.0257E-01  1.1999E+00   -8.5619E-01 -7.1816E-01
   7.398  5.3359E-01  1.2075E+00   -8.3516E-01 -7.3955E-01
   7.445  5.5684E-01  1.2120E+00   -8.1862E-01 -7.5564E-01
   7.478  5.7268E-01  1.2144E+00   -8.0693E-01 -7.6665E-01
   7.496  5.8139E-01  1.2155E+00   -8.0035E-01 -7.7271E-01
   7.504  5.8544E-01  1.2160E+00   -7.9725E-01 -7.7554E-01
   7.522  5.9403E-01  1.2168E+00   -7.9060E-01 -7.8154E-01
   7.555  6.0922E-01  1.2179E+00   -7.7854E-01 -7.9219E-01
   7.602  6.3059E-01  1.2185E+00   -7.6092E-01 -8.0723E-01
   7.663  6.5749E-01  1.2175E+00   -7.3752E-01 -8.2632E-01
   7.738  6.8904E-01  1.2135E+00   -7.0808E-01 -8.4896E-01
   7.826  7.2414E-01  1.2050E+00   -6.7233E-01 -8.7454E-01
   7.928  7.6143E-01  1.1902E+00   -6.2998E-01 -9.0231E-01
   8.042  7.9928E-01  1.1670E+00   -5.8074E-01 -9.3142E-01
   8.169  8.3587E-01  1.1334E+00   -5.2442E-01 -9.6084E-01
   8.308  8.6912E-01  1.0876E+00   -4.6087E-01 -9.8947E-01
   8.458  8.9683E-01  1.0276E+00   -3.9008E-01 -1.0161E+00
   8.619  9.1667E-01  9.5212E-01   -3.1218E-01 -1.0393E+00
   8.790  9.2635E-01  8.6000E-01   -2.2751E-01 -1.0578E+00
   8.971  9.2366E-01  7.5080E-01   -1.3661E-01 -1.0701E+00
   9.161  9.0665E-01  6.2476E-01   -4.0242E-02 -1.0749E+00
   9.358  8.7374E-01  4.8292E-01    6.0555E-02 -1.0710E+00
   9.563  8.2384E-01  3.2713E-01    1.6452E-01 -1.0570E+00
   9.775  7.5648E-01  1.6012E-01    2.7015E-01 -1.0322E+00
